관리번호,개방자치단체코드,x,y
3630000-102-2006-00009,3630000,126.84282837148126,35.22031751691462
3630000-102-2006-00013,3630000,126.84082263248047,35.22050430582954
3630000-102-2006-00014,3630000,126.84082263248047,35.22050430582954
3630000-102-2006-00016,3630000,126.84366877303874,35.21910533173764
3630000-102-2006-00017,3630000,126.84512741102616,35.218713738030054
3630000-102-2002-00007,3630000,126.83991053858452,35.2210646438416
3630000-102-2002-00008,3630000,126.83990279479488,35.22012603478422
3630000-102-2002-00009,3630000,126.84021813170247,35.21882543344209
3630000-102-2002-00010,3630000,126.84183288939575,35.216658689730224
3630000-102-2004-00003,3630000,126.84181048673403,35.21881852248583
3630000-102-2004-00004,3630000,126.84335177238103,35.215637071851795
3630000-102-2004-00005,3630000,126.84282737879558,35.216331235244105
3630000-102-2004-00006,3630000,126.80118736363377,35.16312230540272
3630000-102-2004-00007,3630000,126.84280472278049,35.21460241634472
3630000-102-2013-00007,3630000,126.80740419691719,35.162540032673704
3630000-102-1996-00011,3630000,126.80083466596282,35.16052192187542
3630000-102-1996-00013,3630000,126.8027805907034,35.16297214201372
3630000-102-1996-00017,3630000,126.80064487206138,35.163538957701654
3630000-102-2013-00008,3630000,126.80065530230698,35.163849945793736
3630000-102-2001-00023,3630000,126.84128495484634,35.21882221866149
3630000-102-2001-00025,3630000,126.84055090314602,35.21988167942345
3630000-102-2014-00003,3630000,126.8205054304133,35.19161606234401
3630000-102-2014-00004,3630000,126.84359072288092,35.21460031878147
3630000-102-2014-00005,3630000,126.84678832931554,35.21536032089161
3630000-102-2014-00006,3630000,126.8034596489009,35.162540690521325
3630000-102-2014-00007,3630000,126.84342851308888,35.218811721828494
3630000-102-2014-00008,3630000,126.84609727968,35.21512150316119
3630000-102-2015-00001,3630000,126.8034596489009,35.162540690521325
3630000-102-2015-00002,3630000,126.80083466596282,35.16052192187542
3630000-102-2015-00003,3630000,126.84279482151824,35.215331456683934
3630000-102-2015-00004,3630000,126.84279482151824,35.215331456683934
3630000-102-2015-00005,3630000,126.84678832931554,35.21536032089161
3630000-102-2015-00006,3630000,126.84281750800557,35.21863187500343
3630000-102-2015-00007,3630000,126.84082143163769,35.21988040719917
3630000-102-2015-00008,3630000,126.80077452650707,35.17993332254738
3630000-102-2016-00002,3630000,126.83487070999979,35.196573707958414
3630000-102-1998-00003,3630000,126.80110930418928,35.16085993730677
3630000-102-1998-00001,3630000,126.78854388890947,35.13644799661941
3630000-102-1998-00004,3630000,126.8058422881332,35.16305048593648
3630000-102-1999-00003,3630000,126.80283131994204,35.16333024090725
3630000-102-1999-00004,3630000,126.8020470890624,35.16077239715216
3630000-102-1997-00011,3630000,126.80665349073864,35.16261036148551
3630000-102-2006-00023,3630000,126.84254017184864,35.21983810375382
3630000-102-2006-00024,3630000,126.83990874483905,35.22084746515637
3630000-102-2006-00025,3630000,126.84342695237677,35.218629114422626
3630000-102-2006-00026,3630000,126.84342695237677,35.218629114422626
3630000-102-2007-00001,3630000,126.80088389548686,35.1608797376934
3630000-102-2007-00002,3630000,126.84512741102616,35.218713738030054
3630000-102-2009-00008,3630000,126.84337832799525,35.2198469012217
3630000-102-2009-00009,3630000,126.84282353471542,35.21947087014467
3630000-102-2007-00004,3630000,126.8412508610305,35.22166193576476
3630000-102-2007-00008,3630000,126.84265291343027,35.21428633702896
3630000-102-2007-00009,3630000,126.84265291343027,35.21428633702896
3630000-102-2007-00010,3630000,126.79231667844806,35.13846152387307
3630000-102-2009-00011,3630000,126.84342851308888,35.218811721828494
3630000-102-2007-00013,3630000,126.84610286306159,35.215989564784515
3630000-102-1997-00010,3630000,126.8027805907034,35.16297214201372
3630000-102-2006-00019,3630000,126.83471240973672,35.19680673579499
3630000-102-2009-00005,3630000,126.80687166555826,35.16258997115727
3600000-102-2006-00040,3600000,126.8475957884163,35.154538053578705
3600000-102-1976-00001,3600000,126.89953300130166,35.15084298761099
3600000-102-2013-00006,3600000,126.85520699879676,35.13270795335409
3600000-102-2013-00007,3600000,126.84759975453935,35.15408935371916
3600000-102-2013-00010,3600000,126.85063795512634,35.15369689474023
3600000-102-2013-00012,3600000,126.85516591707955,35.132958785079786
3600000-102-2013-00013,3600000,126.84704004000308,35.15220532680661
3600000-102-2014-00001,3600000,126.84759620145543,35.15431289698549
3600000-102-2014-00002,3600000,126.85040839539954,35.15362489691484
3600000-102-2014-00005,3600000,126.87540861119263,35.126490681359584
3600000-102-2014-00006,3600000,126.84763269482838,35.15224811662417
3600000-102-2006-00041,3600000,126.87546254354721,35.15827872725195
3600000-102-2007-00006,3600000,126.84703498341163,35.1540871409132
3600000-102-2007-00007,3600000,126.84704307319824,35.150672584989195
3600000-102-2007-00008,3600000,126.84763478945958,35.15273370626005
3600000-102-2007-00009,3600000,126.84759981888305,35.1549903747175
3600000-102-2007-00010,3600000,126.85132026996571,35.1530926778843
3600000-102-2007-00011,3600000,126.84703832900699,35.15327352948281
3600000-102-2011-00002,3600000,126.85041411564123,35.15307092602806
3600000-102-2011-00003,3600000,126.85041411564123,35.15307092602806
3600000-102-2011-00004,3600000,126.85041411564123,35.15307092602806
3600000-102-1980-00002,3600000,126.89919611691425,35.15250991492043
3600000-102-1983-00002,3600000,126.90265262648686,35.14876211414065
3600000-102-1986-00002,3600000,126.90261504935931,35.1486758141549
3600000-102-2006-00007,3600000,126.84659540307418,35.15048117123521
3600000-102-2006-00008,3600000,126.84704004000308,35.15220532680661
3600000-102-2006-00010,3600000,126.8475957884163,35.154538053578705
