관리번호,개방자치단체코드,x,y
3630000-103-2016-00001,3630000,126.84134909232266,35.22039813902494
3630000-103-2005-00002,3630000,126.83376203298204,35.18539660937174
3630000-103-2005-00005,3630000,126.8072531256258,35.162857060666866
3630000-103-2007-00011,3630000,126.83494339889444,35.19150589319966
3630000-103-2007-00014,3630000,126.83540118161783,35.191309164646725
3630000-103-2007-00015,3630000,126.84676857499282,35.21578988406343
3630000-103-2007-00016,3630000,126.80041004017411,35.16028961857351
3630000-103-2007-00017,3630000,126.8464772286892,35.21579033706293
3630000-103-2008-00001,3630000,126.8358392957338,35.18569804131076
3630000-103-1994-00004,3630000,126.8050716382802,35.17671405699127
3630000-103-1994-00005,3630000,126.80077320233993,35.16020847340232
3630000-103-2008-00009,3630000,126.83289242004864,35.18568735243363
3630000-103-2008-00011,3630000,126.8034596489009,35.162540690521325
3630000-103-2008-00012,3630000,126.8422201419637,35.21516235593195
3630000-103-2011-00005,3630000,126.83270745852046,35.18496571359189
3630000-103-2011-00006,3630000,126.84284047490142,35.21564800462188
3630000-103-2011-00007,3630000,126.8422008983444,35.21460762774759
3630000-103-2011-00008,3630000,126.8412508610305,35.22166193576476
3630000-103-2011-00009,3630000,126.84282658915524,35.21598827862392
3630000-103-2011-00010,3630000,126.84411517409545,35.21494285274913
3630000-103-2011-00011,3630000,126.80622408164555,35.162650646043886
3630000-103-1995-00005,3630000,126.80644358739487,35.16980594362886
3630000-103-1995-00001,3630000,126.80601517590391,35.16984557232389
3630000-103-1995-00006,3630000,126.79965972206973,35.16326707761232
3630000-103-2013-00013,3630000,126.79173423918014,35.140928383628214
3630000-103-2010-00001,3630000,126.84554779073149,35.21515483760698
3630000-103-2010-00003,3630000,126.8428170305881,35.21881379156152
3630000-103-2010-00004,3630000,126.80005284900847,35.16390615113049
3630000-103-2010-00007,3630000,126.8425048556524,35.2146062360464
3630000-103-2011-00001,3630000,126.83347568383545,35.185822657675345
3630000-103-2011-00002,3630000,126.78966669039055,35.138642760827246
3630000-103-2004-00001,3630000,126.84282192981374,35.21401918324551
3590000-103-2009-00001,3590000,126.91061943049579,35.1557480966256
3590000-103-1999-00002,3590000,126.9141218135378,35.149783014060056
3620000-103-2007-00001,3620000,126.91547056187676,35.16599515548547
3620000-103-2007-00003,3620000,126.88112837977347,35.173188578977935
3620000-103-2007-00004,3620000,126.89196402368526,35.18048963767655
3620000-103-2007-00005,3620000,126.87261205738717,35.210814755611764
3620000-103-2011-00003,3620000,126.8919017244542,35.1793254762781
3620000-103-2011-00004,3620000,126.89206569971701,35.179318408178034
3620000-103-2011-00007,3620000,126.9200108882568,35.18566468862903
3620000-103-2012-00001,3620000,126.91851573805491,35.18637428418714
3620000-103-2012-00002,3620000,126.89170844900092,35.17932115634972
3620000-103-2012-00003,3620000,126.90178525768162,35.163419491928806
3620000-103-2012-00004,3620000,126.88059324703887,35.17292975045285
3620000-103-2012-00006,3620000,126.89903536620777,35.19268201994886
3620000-103-2007-00006,3620000,126.90367486080902,35.160649637715075
3620000-103-2008-00001,3620000,126.91746140359817,35.185595490967216
3620000-103-2008-00003,3620000,126.87189188940562,35.212243392020305
3620000-103-2008-00004,3620000,126.89279487076014,35.180497226700304
3620000-103-2008-00005,3620000,126.8795506043417,35.173526736341806
3620000-103-2008-00006,3620000,126.87239502748402,35.21085737650235
3620000-103-2009-00001,3620000,126.91836056095046,35.186454289655686
3620000-103-2009-00003,3620000,126.9023101083629,35.16285690105961
3620000-103-2012-00007,3620000,126.91776420425052,35.16475718035865
3620000-103-2012-00009,3620000,126.92591146288862,35.17676030899189
3620000-103-2013-00001,3620000,126.8795269227796,35.17298512047821
3620000-103-2010-00001,3620000,126.8789888877593,35.173013303607455
3620000-103-2010-00004,3620000,126.8990198122293,35.16416468068523
3620000-103-2010-00005,3620000,126.92538378177139,35.176560322754604
3620000-103-1995-00001,3620000,126.90308876887855,35.15868170400807
3620000-103-1995-00020,3620000,126.9234553028905,35.173768945031945
3620000-103-1996-00010,3620000,126.89428418283387,35.16758198005558
3620000-103-1996-00006,3620000,126.90142146009043,35.16841245040302
3620000-103-1994-00008,3620000,126.88124350241054,35.170217751280745
3620000-103-1995-00003,3620000,126.9026931147452,35.16167857099775
3620000-103-1997-00002,3620000,126.90983241591337,35.16294641126991
3620000-103-1997-00020,3620000,126.91368921736442,35.166652238627165
3620000-103-1997-00017,3620000,126.89980158437568,35.168733437650644
3620000-103-1997-00010,3620000,126.88870181933012,35.16862883191301
3620000-103-1997-00014,3620000,126.88697361601186,35.180107859629594
3620000-103-2013-00002,3620000,126.89472949514872,35.204320632994246
3620000-103-2013-00004,3620000,126.89574369241788,35.16678783365567
3620000-103-2011-00002,3620000,126.87832191857815,35.173110199058
3620000-103-2010-00007,3620000,126.87109827927577,35.21265674081847
3620000-103-2010-00009,3620000,126.89226424071714,35.18039245555482
3620000-103-2011-00001,3620000,126.89224130094317,35.18003288466844
3270000-103-1994-00600,3270000,129.03860116195585,35.119029966893336
3270000-103-1995-00643,3270000,129.04587648661388,35.13038428047214
3270000-103-1994-00603,3270000,129.04227752431316,35.12795652312436
3270000-103-1994-00654,3270000,129.05576216640063,35.13887260475743
3270000-103-1994-00631,3270000,129.03908454847306,35.11735908691399
3270000-103-1995-00647,3270000,129.05317648283054,35.14101617213875
3270000-103-1995-00649,3270000,129.05844099312762,35.13885607103092
3270000-103-1995-00664,3270000,129.04504776819732,35.129496757193415
3270000-103-1995-00671,3270000,129.04365451169136,35.12899934127164
