시도명,시군구,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2019년 10월,2019년 11월,2019년 12월,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월
서울특별시,강동구,426865,426178,425267,424727,424417,424235,425392,425953,426219,430684,433251,436067,440795,446887,452646,455042,456312,457164,457339,457330,458058,458495,458604,459970,461334,464208,464900,465331,465459,465209,465191,464411,464163,463752,463265,462664
부산광역시,중구,42665,42634,42585,42543,42404,42389,42350,42175,42085,42010,41983,41910,41830,41826,41764,41714,41742,41652,41633,41630,41593,41547,41501,41523,41549,41551,41370,41311,41209,40561,40666,40713,40708,40676,40556,40524
부산광역시,서구,110421,110384,110298,110052,109820,109546,109409,109131,108946,108735,108449,108229,107973,107844,107669,107722,107868,107947,107934,107768,107689,107996,108119,108135,107978,107824,106451,106545,106556,106422,106314,105996,105813,105557,105406,105164
부산광역시,동구,86828,86671,86603,86485,86347,86206,86145,86939,87437,87796,87903,88165,88292,88439,89289,89673,89710,89698,89721,89665,89410,89205,89031,88901,88763,88639,88218,88159,88080,87916,87764,87585,87595,87705,87770,87679
부산광역시,영도구,119734,119494,119222,119045,118790,118588,118303,117978,117662,117316,117040,116711,116447,116155,115886,115645,115388,115120,114873,114511,114252,113909,113621,113342,113048,112809,111507,111387,111574,111685,111580,111386,111210,111111,110901,110638
부산광역시,부산진구,361565,360885,360140,359247,358815,358864,358854,359010,359022,358685,358302,357880,357284,356811,356661,356978,357190,357242,357695,357768,357558,358317,359375,359886,359978,360025,357645,357193,356706,356091,355589,355138,354924,354428,353769,353159
부산광역시,동래구,266502,266860,267232,267567,267572,267804,268097,268956,269739,270558,270910,271247,271562,271528,272319,272570,272532,272476,272554,272182,271980,271633,271187,270745,270695,270678,269497,268996,268616,268391,267994,267672,267425,266912,266570,266866
부산광역시,남구,279470,279033,278608,278497,278632,278270,277824,277205,276583,275792,275041,274480,273707,272927,272381,271674,271183,270606,270125,269626,269251,268711,268249,267731,267351,266989,265759,265194,264679,264098,263764,263333,263262,263236,262856,262069
부산광역시,북구,296292,295517,294651,293971,293362,292843,292387,291787,291452,291131,291337,291132,290908,290230,289575,289059,288986,288376,287736,286865,286327,285507,284872,283952,283452,282799,281851,282073,283138,283612,283696,283901,283937,283766,283584,283211
부산광역시,해운대구,409167,409032,408770,408384,408026,407560,407104,406627,406315,406058,406204,406102,406312,405708,405155,405268,404459,403923,403878,403118,402749,402820,402518,402169,401710,401280,400083,399821,399222,399015,398645,398117,397918,397516,397071,396438
부산광역시,사하구,326968,326061,325726,325166,324661,324330,324023,323430,322906,322333,321858,321004,320254,319542,318866,318196,317747,317258,316705,315748,314728,313677,312840,311757,311052,310740,309302,308684,308036,307559,306866,306885,306843,306605,306421,306003
부산광역시,금정구,242459,242447,242200,241986,241793,241488,241177,240880,240494,239837,239459,239062,238556,238208,237508,236904,236596,236009,235155,234640,234135,233601,233303,232666,231959,231743,230605,230204,229704,229222,229228,229240,229350,229148,228936,228049
부산광역시,강서구,123915,125309,125867,126333,126727,127032,127139,127422,127854,128334,128740,129566,130298,130748,131140,131235,131557,131779,131979,133354,135330,136485,137229,137957,138610,139088,139239,139652,140215,140720,141226,141688,142104,142444,142768,142918
부산광역시,연제구,208406,208637,208834,209712,210226,210011,209836,209529,209343,209503,209531,209395,209980,210509,210326,210086,209873,209514,209345,210146,210362,210191,209688,209157,208900,208743,207419,206979,206547,206239,205936,205700,205676,205607,205742,207144
부산광역시,수영구,176116,176118,176100,175744,175532,176294,176724,176777,176738,176531,176331,176148,176112,176879,176967,176984,176886,176975,176742,176937,177266,177085,176885,176894,176742,176703,176145,176276,176062,175877,175722,175815,175799,175583,175389,175095
부산광역시,사상구,222853,222315,222251,221994,221872,221317,220898,220374,219916,219303,218707,218094,217594,217250,216840,216507,216083,215709,215332,214826,214345,213747,213178,212586,212173,212038,211252,210943,210579,210333,210005,209547,209410,209138,208727,208298
부산광역시,기장군,164898,164833,165004,165024,165016,165090,165047,164989,165010,164949,164926,164716,164710,166321,167586,168132,169142,170139,171369,172288,172774,173167,173918,174545,175428,176112,176056,176287,176411,176617,176786,176811,176789,176879,177161,177125
