시도명,시군구,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2019년 10월,2019년 11월,2019년 12월,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월
광주광역시,북구,14288,14288,14271,14260,14281,14270,14275,14308,14342,14366,14387,14345,14304,14333,14386,14391,14438,14526,14595,14620,14638,14618,14568,14546,14528,14546,14578,14667,14686,14686,14716,14697,14513,14526,14553,14530
광주광역시,서구,7013,6994,6987,6998,7017,7036,7043,7066,7086,7086,7078,7067,7055,7110,7153,7195,7188,7162,7175,7186,7205,7229,7213,7226,7203,7211,7218,7207,7244,7244,7239,7243,7281,7011,6371,6350
광주광역시,광산구,7941,7942,7969,7979,8034,8059,8050,8049,8079,8069,8089,8085,8096,8130,8190,8244,8279,8292,8330,8410,8511,8502,8470,8474,8498,8517,8564,8573,8620,8620,8777,8839,8904,8591,8656,8648
대전광역시,중구,7213,7215,7215,7223,7212,7261,7273,7256,7251,7295,7256,7240,7246,7223,7234,7267,7314,7317,7318,7337,7292,7338,7331,7356,7367,7372,7381,7418,7397,7397,7404,7413,7470,7489,7468,7322
대전광역시,동구,7886,7871,7872,7879,7901,7924,7992,8037,8069,8069,8044,8020,7996,8027,8076,8130,8167,8203,8210,8182,8209,8257,8234,8244,8290,8329,8318,8360,8407,8407,8488,8550,8583,8563,8619,8406
대전광역시,서구,9383,9374,9393,9406,9478,9451,9494,9547,9569,9597,9602,9594,9591,9646,9682,9740,9749,9782,9826,9864,9929,10015,10010,9973,9933,9943,9989,10047,10112,10112,10174,10262,10325,10273,10324,10306
대전광역시,대덕구,6118,6113,6122,6157,6199,6199,6191,6183,6196,6192,6207,6231,6214,6217,6196,6241,6265,6284,6296,6305,6327,6347,6336,6362,6362,6386,6384,6347,6333,6333,6335,6345,6117,6128,6138,6159
대전광역시,유성구,6398,6398,6416,6424,6455,6500,6519,6547,6544,6556,6583,6591,6581,6585,6637,6706,6728,6750,6777,6768,6827,6836,6821,6813,6800,6826,6844,6902,6921,6921,7057,7036,7051,7053,7020,6987
울산광역시,중구,9697,9665,9622,9623,9633,9635,9673,9684,9678,9694,9660,9654,9631,9636,9667,9690,9705,9735,9754,9775,9798,9809,9770,9739,9743,9742,9761,9782,9808,9808,9861,9929,9087,9038,9070,9051
울산광역시,남구,9922,9917,9937,9932,9953,9995,10010,10040,10058,10073,10099,10096,10122,10162,10239,10339,10369,10414,10412,10469,10501,10549,10557,10581,10627,10660,10652,10693,10737,10737,10798,10814,10352,10373,10346,10290
울산광역시,동구,25789,25735,25724,25692,25660,25630,25653,25663,25678,25664,25637,25598,25589,25598,25607,25653,25683,25634,25586,25629,25643,25628,25563,25523,25480,25406,25396,25328,25250,25250,25209,25227,24688,24682,24650,24617
울산광역시,북구,9408,9496,9633,9744,9825,9859,9963,10044,10099,10122,10183,10162,10196,10202,10237,10284,10286,10330,10353,10364,10434,10468,10489,10517,10544,10546,10548,10597,10607,10607,10685,10698,10732,10736,10729,10746
울산광역시,울주군,6859,6879,6897,6897,6947,6982,7008,7045,7085,7117,7099,7087,7064,7098,7131,7164,7200,7213,7269,7285,7328,7324,7343,7358,7365,7349,7362,7412,7444,7444,7474,7511,6969,6979,7143,7122
세종특별자치시,세종특별자치시,11245,11277,11333,11377,11413,11427,11494,11548,11535,11574,11588,11577,11558,11599,11649,11664,11668,11652,11682,11718,11769,11782,11816,11846,11888,11907,11965,12034,12030,12030,12056,12122,11245,11206,10840,10871
충청남도,계룡시,688,688,700,696,697,698,696,697,699,699,698,695,693,695,709,727,718,720,718,716,718,719,719,729,729,723,727,739,737,737,736,748,748,742,753,758
충청남도,공주시,10523,10533,10523,10514,10495,10500,10501,10485,10502,10499,10481,10478,10460,10452,10458,10458,10456,10455,10458,10466,10485,10447,10450,10484,10494,10499,10495,10510,10494,10494,10484,10476,10234,9225,9121,9101
충청남도,금산군,6772,6778,6770,6756,6760,6747,6722,6711,6695,6695,6686,6662,6657,6661,6666,6684,6688,6674,6670,6664,6647,6631,6620,6616,6604,6602,6603,6604,6591,6591,6597,6575,6489,6504,6471,6460
충청남도,논산시,10021,10008,10009,10000,9969,9963,9956,9943,9945,9929,9905,9895,9890,9902,9871,9848,9852,9856,9852,9843,9824,9809,9823,9794,9777,9756,9753,9751,9745,9745,9760,9751,9751,9601,9653,9615
