사고번호,기온,강수량,풍속
2019011000100269,2.3,0.0,3.0
2019011000100297,2.7,0.0,2.7
2019011000100333,2.2,0.0,1.8
2019011000100368,1.5,0.0,1.6
2019011000100371,1.5,0.0,1.6
2019011000100423,1.0,0.0,1.6
2019011000100424,1.0,0.0,1.6
2019011000100432,1.0,0.0,1.6
2019011000100464,0.8,0.0,1.9
2019011000100465,0.8,0.0,1.9
2019011000100493,0.6,0.0,0.8
2019011000100511,0.6,0.0,0.3
2019011000100528,0.5,0.0,0.7
2019011100100068,0.3,0.0,0.4
2019011100100069,0.3,0.0,0.4
2019011100100189,1.1,0.0,1.3
2019011100100193,1.1,0.0,1.3
2019011100100254,4.7,0.0,1.2
2019011100100309,6.8,0.0,0.9
2019011100100310,6.8,0.0,0.9
2019011100100334,6.5,0.0,0.9
2019011100100335,6.5,0.0,0.9
2019011100100358,6.0,0.0,0.8
2019011100100385,5.0,0.0,1.2
2019011100100423,4.3,0.0,1.2
2019011100100477,3.7,0.0,2.2
2019011100100480,3.7,0.0,2.2
2019011100100511,2.9,0.0,1.2
2019011100100548,2.2,0.0,0.6
2019011100100568,1.6,0.0,1.5
2019011100100570,1.6,0.0,1.5
2019011100100587,1.6,0.0,0.6
2019011100100589,1.6,0.0,0.6
2019011100100592,1.6,0.0,0.6
2019011200100018,1.2,0.0,0.4
2019011200100157,1.3,0.0,0.4
2019011200100179,2.5,0.0,1.5
2019011200100316,7.8,0.0,1.8
2019011200100344,6.9,0.0,1.7
2019011200100369,5.5,0.0,2.9
2019011200100370,5.5,0.0,2.9
2019011200100395,3.8,0.0,2.8
2019011200100433,2.7,0.0,1.1
2019011200100491,1.4,0.0,2.7
2019011200100493,1.4,0.0,2.7
2019011200100518,0.7,0.0,1.0
2019011200100545,0.0,0.0,0.5
2019011300100031,-1.0,0.0,1.9
2019011300100117,-2.4,0.0,0.4
2019011300100127,-0.3,0.0,1.5
2019011300100160,4.0,0.0,1.6
2019011300100178,6.3,0.0,2.3
2019011300100202,7.0,0.0,2.4
2019011300100225,7.1,0.0,3.0
2019011300100251,7.2,0.0,1.7
2019011300100252,7.2,0.0,1.7
2019011300100275,5.7,0.0,1.5
2019011300100365,1.4,0.0,1.8
2019011300100376,0.9,0.0,1.0
2019011300100378,0.9,0.0,1.0
2019011300100395,0.3,0.0,1.4
2019011300100396,0.3,0.0,1.4
2019011400100027,-0.2,0.0,0.2
2019011400100036,-0.7,0.0,1.3
2019011400100059,-1.2,0.0,0.6
2019011400100104,-2.2,0.0,0.4
2019011400100132,-2.2,0.0,0.5
2019011400100133,-2.2,0.0,0.5
2019011400100134,-2.2,0.0,0.5
2019011400100232,1.4,0.0,0.7
2019011400100261,3.1,0.0,1.0
2019011400100262,3.1,0.0,1.0
2019011400100265,3.1,0.0,1.0
2019011400100316,4.8,0.0,1.2
2019011400100388,4.2,0.0,1.0
2019011400100389,4.2,0.0,1.0
2019011400100426,3.2,0.0,1.7
2019011400100429,3.2,0.0,1.7
2019011400100432,3.2,0.0,1.7
2019011400100476,2.7,0.0,1.8
2019011400100559,2.1,0.0,0.5
2019011500100050,0.3,0.0,1.8
2019011500100149,-0.7,0.0,2.9
2019011500100150,-0.7,0.0,2.9
2019011500100208,0.0,0.0,4.1
2019011500100257,1.6,0.0,3.0
2019011500100305,1.1,0.0,4.3
2019011500100327,-1.0,0.0,4.2
2019011500100366,-2.8,0.0,4.2
2019011500100422,-3.9,0.0,4.3
2019011500100450,-5.3,0.0,4.3
2019011500100481,-6.2,0.0,2.5
2019011500100518,-6.8,0.0,2.2
